20151202105530 CRAWL RESUMED - Running
           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2015-12-02T10:55:50Z         809         677          156         7.8(7.8)   525(525)             0             4       174642        331776            1          39          26
2015-12-02T10:56:10Z        1450        1153          321       8.25(8.02)   524(525)             0             9       229076        325120            1          62          44
2015-12-02T10:56:30Z        2126        1665          485        8.2(8.08)   530(526)             0             2       168575        336384            1          91          64
2015-12-02T10:56:50Z        2786        2171          639        7.7(7.99)   514(523)             0             2       268431        362496            1         108          86
2015-12-02T10:57:10Z        3421        2666          779          7(7.79)   480(515)             0             1       272421        412672            1         136         106
2015-12-02T10:57:30Z        4043        3142          925        7.3(7.71)   504(513)             0             3       342208        401408            1         160         125
2015-12-02T10:57:50Z        4574        3545         1053        6.4(7.52)   436(502)             0             2       311178        428544            1         175         141
2015-12-02T10:58:10Z        5124        3958         1190       6.85(7.44)   466(497)             0             1       396576        421888            1         196         158
2015-12-02T10:58:30Z        5623        4324         1323       6.65(7.35)   449(492)             0             7       372361        468480            1         202         172
2015-12-02T10:58:50Z        5951        4570         1405        4.1(7.02)   272(470)             0             2       412044        486400            1         218         182
2015-12-02T10:59:10Z        6509        4990         1543        6.9(7.01)   467(470)             0             2       423268        514560            1         245         199
2015-12-02T10:59:30Z        7072        5404         1692       7.45(7.05)   497(472)             0             0       459220        509440            1         265         216
2015-12-02T10:59:50Z        7601        5793         1832          7(7.05)   475(472)             0             1       491447        562688            1         287         231
2015-12-02T11:00:10Z        8113        6174         1963       6.55(7.01)   444(470)             0             3       527098        563200            1         306         246
2015-12-02T11:00:30Z        8643        6568         2099           6.8(7)   461(470)             0             2       535668        590336            1         320         262
2015-12-02T11:00:50Z        9058        6873         2209         5.5(6.9)   385(464)             0             2       552590        646656            1         334         274
2015-12-02T11:01:10Z        9414        7140         2298       4.45(6.76)   308(455)             0             3       577425        635904            1         344         285
2015-12-02T11:01:30Z        9822        7448         2398          5(6.66)   341(449)             0             6       599721        688128            1         361         297
2015-12-02T11:01:50Z       10320        7815         2529       6.55(6.66)   450(449)             0             3       634762        669184            1         379         312
2015-12-02T11:02:10Z       10756        8135         2645        5.8(6.61)   396(446)             0             1       651212        713216            1         385         325
2015-12-02T11:02:30Z       11323        8557         2790       7.25(6.64)   484(448)             0             3       682403        749568            1         402         342
2015-12-02T11:02:50Z       11812        8902         2934        7.2(6.67)   497(450)             0             3       724650        746496            1         412         356
2015-12-02T11:03:10Z       12359        9305         3078        7.2(6.69)   493(452)             0             4       748631        779264            1         424         372
2015-12-02T11:03:30Z       12940        9736         3228        7.5(6.72)   527(455)             0             6       779245        814080            1         431         389
2015-12-02T11:03:50Z       13500       10156         3368          7(6.74)   488(457)             0             4       806107        843776            1         446         406
2015-12-02T11:04:10Z       14026       10537         3513       7.25(6.76)   492(458)             0             2       835547        879616            1         467         421
2015-12-02T11:04:30Z       14478       10862         3640       6.35(6.74)   441(457)             0             2       860864        906240            1         475         434
2015-12-02T11:04:50Z       15050       11301         3773       6.65(6.74)   464(458)             0             4       900466        954368            1         501         452
2015-12-02T11:05:10Z       15604       11716         3912       6.95(6.74)   487(459)             0             2       937849        968192            1         517         468
2015-12-02T11:05:30Z       16148       12120         4052          7(6.75)   495(460)             0             0       965666       1040384            1         543         484
2015-12-02T11:05:50Z       16648       12487         4185       6.65(6.75)   467(460)             0             2      1005407       1048576            1         558         499
2015-12-02T11:06:10Z       17161       12865         4320       6.75(6.75)   466(460)             0             1      1019956       1102848            1         575         514
2015-12-02T11:06:30Z       17696       13256         4464        7.2(6.76)   501(461)             0             5      1082900       1103360            1         583         530
2015-12-02T11:06:50Z       18174       13601         4597       6.65(6.76)   468(462)             0             3      1090459       1184768            1         604         544
2015-12-02T11:07:10Z       18699       13990         4733        6.8(6.76)   469(462)             0             1      1114817       1185792            1         624         559
2015-12-02T11:07:30Z       19188       14338         4874       7.05(6.77)   489(463)             0             3      1143207       1241088            1         636         573
2015-12-02T11:07:50Z       19676       14698         5002        6.4(6.76)   446(462)             0             7      1185296       1253376            1         655         587
2015-12-02T11:08:10Z       20115       15007         5132        6.5(6.75)   449(462)             0             2      1190716       1291264            1         671         600
2015-12-02T11:08:30Z       20660       15414         5270        6.9(6.76)   488(463)             0             3      1240249       1270784            1         683         616
2015-12-02T11:08:50Z       21143       15762         5405       6.75(6.76)   465(463)             0             6      1256270       1342976            1         702         630
2015-12-02T11:09:10Z       21555       16054         5525          6(6.74)   419(462)             0             0      1296355       1352704            1         710         642
2015-12-02T11:09:30Z       22055       16419         5660       6.75(6.74)   476(462)             0             3      1300745       1390080            1         729         656
2015-12-02T11:09:50Z       22583       16806         5801       7.05(6.75)   497(463)             0             2      1338649       1452032            1         735         672
2015-12-02T11:10:10Z       23080       17166         5938       6.85(6.75)   472(463)             0             3      1372969       1453568            1         741         686
2015-12-02T11:10:30Z       23579       17535         6068        6.5(6.74)   449(463)             0             0      1401345       1525248            1         761         701
2015-12-02T11:10:50Z       23978       17811         6191       6.15(6.73)   422(462)             0             1      1418784       1515520            1         774         712
2015-12-02T11:11:10Z       24436       18152         6308       5.85(6.71)   413(461)             0             6      1458384       1532928            1         785         726
2015-12-02T11:11:30Z       24954       18530         6448          7(6.72)   485(461)             0             1      1478778       1610752            1         797         741
20151202111133 CRAWL ENDING - Finished - Ended by operator
